timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,duration_ms,packet_count,tcp_flags,is_encrypted
2026-06-28T15:40:15.440291+00:00,10.0.2.190,192.168.10.24,39722,5900,ICMP,4905,13280,19328,169,SYN,0
2026-06-28T15:40:15.496291+00:00,192.168.10.109,45.33.32.115,46777,5432,UDP,5614,18250,637,14,ACK,0
2026-06-28T15:40:15.586291+00:00,10.0.3.218,8.8.8.155,36166,443,HTTPS,6241,5204,2262,19,PSH-ACK,1
2026-06-28T15:40:15.866291+00:00,10.0.1.13,45.33.32.198,57809,443,UDP,6267,18257,1858,41,ACK,0
2026-06-28T15:40:16.016291+00:00,10.0.3.181,198.51.100.156,31318,5432,UDP,4462,41983,2819,36,SYN-ACK,0
2026-06-28T15:40:15.760291+00:00,10.0.1.208,8.8.8.103,58457,3306,DNS,3523,42994,2045,26,FIN,0
2026-06-28T15:40:16.142291+00:00,192.168.10.139,192.168.10.111,15397,53,HTTP,8388,32383,373,49,SYN,0
2026-06-28T15:40:16.063291+00:00,192.168.1.154,192.168.1.154,17500,80,DNS,11185,47273,470,44,PSH-ACK,0
2026-06-28T15:40:16.536291+00:00,192.168.1.42,104.16.249.1,60833,443,DNS,14302,41019,1223,41,PSH-ACK,0
2026-06-28T15:40:16.241291+00:00,10.0.2.140,10.0.1.155,2300,443,HTTPS,5987,20193,981,4,SYN-ACK,1
2026-06-28T15:40:17.390291+00:00,10.0.1.189,104.16.249.209,44261,8443,UDP,9047,10861,1086,34,PSH-ACK,1
2026-06-28T15:40:16.584291+00:00,10.0.2.184,10.0.3.114,17270,22,TCP,1089,22196,87,38,PSH-ACK,0
2026-06-28T15:40:17.840291+00:00,10.0.1.183,203.0.113.59,5667,22,HTTP,4602,43882,1989,14,PSH-ACK,0
2026-06-28T15:40:17.988291+00:00,10.0.2.202,104.16.249.207,44211,5432,TCP,5844,27799,1684,30,SYN,0
2026-06-28T15:40:16.350291+00:00,10.0.3.206,10.0.2.50,28672,53,UDP,4603,30358,1024,5,FIN,0
2026-06-28T15:40:16.370291+00:00,192.168.10.216,203.0.113.249,27658,8443,UDP,7926,14048,1643,4,SYN-ACK,1
2026-06-28T15:40:16.240291+00:00,10.0.3.239,192.168.1.180,13469,8080,UDP,3606,3872,2373,48,PSH-ACK,0
2026-06-28T15:40:17.650291+00:00,192.168.10.124,151.101.1.236,6274,53,DNS,1162,39036,279,44,SYN-ACK,1
2026-06-28T15:40:16.880291+00:00,192.168.10.65,172.217.14.153,44105,3306,HTTPS,4312,13426,2744,46,ACK,1
